Team,Avg Points,Win League %,Top 2 %,Relegation %,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Portsmouth,95.68,81.04,96.03,0,,,Portsmouth,81.04,14.99,3.16,0.72,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derby County,90.69,16.45,74.82,0,,,Derby County,16.45,58.37,18.06,5.69,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolton Wanderers,86.77,1.82,16.64,0,,,Bolton Wanderers,1.82,14.82,39.12,28.21,15.88,0.14,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peterborough United,85.11,0.4,8.33,0,,,Peterborough United,0.4,7.93,25.18,34.53,30.38,1.45,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnsley,84.54,0.29,4.18,0,,,Barnsley,0.29,3.89,14.48,30.52,47.35,3.08,0.36,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln City,74.88,0,0,0,,,Lincoln City,0,0,0,0.15,2.29,45.52,33.52,13.78,4.42,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxford United,74.69,0,0,0,,,Oxford United,0,0,0,0.17,2.29,37.73,31.56,19.55,8.14,0.54,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
Stevenage,72,0,0,0,,,Stevenage,0,0,0,0.01,0.28,9.88,22.95,35.07,27.65,3.8,0.34,0.02,0,0,0,0,0,0,0,0,0,0,0,0
Blackpool,69.84,0,0,0,,,Blackpool,0,0,0,0,0.01,2.18,11.08,28.77,46.27,9.99,1.54,0.15,0.01,0,0,0,0,0,0,0,0,0,0,0
Leyton Orient,65.24,0,0,0,,,Leyton Orient,0,0,0,0,0,0.02,0.38,2.7,11.42,55.21,19.3,7.22,2.78,0.83,0.14,0,0,0,0,0,0,0,0,0
Northampton Town,62.31,0,0,0,,,Northampton Town,0,0,0,0,0,0,0,0.03,1.11,14.9,36.23,24.51,14.19,6.04,2.46,0.53,0,0,0,0,0,0,0,0
Wycombe Wanderers,60.02,0,0,0,,,Wycombe Wanderers,0,0,0,0,0,0,0.01,0.07,0.62,8.29,18.88,23.34,20.97,13.78,8.11,4.19,1.31,0.34,0.09,0,0,0,0,0
Bristol Rovers,59.37,0,0,0,,,Bristol Rovers,0,0,0,0,0,0,0,0.01,0.27,4.24,12.66,19.08,22.09,19.6,12.45,5.78,2.7,0.86,0.22,0.04,0,0,0,0
Wigan Athletic,57.9,0,0,0,,,Wigan Athletic,0,0,0,0,0,0,0,0,0.08,1.91,7.56,16.26,20.8,22.69,16.32,10.23,3.25,0.78,0.12,0,0,0,0,0
Exeter City,56.37,0,0,0,,,Exeter City,0,0,0,0,0,0,0,0,0.01,0.76,2.67,5.82,11.01,19.67,28.08,19.38,8.96,3.05,0.5,0.09,0,0,0,0
Charlton Athletic,54,0,0,0.29,,,Charlton Athletic,0,0,0,0,0,0,0,0,0,0.04,0.72,3.01,6.32,11.77,18.56,27.11,17.07,9.13,4.44,1.54,0.24,0.05,0,0
Reading,51.49,0,0,2.84,,,Reading,0,0,0,0,0,0,0,0,0,0,0.06,0.33,1.05,3.16,7.12,14.64,28.44,21.98,13.54,6.84,2.29,0.55,0,0
Cambridge United,50.76,0,0,8.55,,,Cambridge United,0,0,0,0,0,0,0,0,0,0,0.02,0.24,0.65,1.74,4.12,10,17.27,23.98,19.8,13.63,6.56,1.99,0,0
Shrewsbury Town,49.98,0,0,9.96,,,Shrewsbury Town,0,0,0,0,0,0,0,0,0,0,0,0.02,0.13,0.63,2.01,5.61,12.57,21.25,27.6,20.22,8.44,1.51,0.01,0
Burton Albion,46.35,0,0,49.34,,,Burton Albion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.95,3.87,7.64,14.17,23.86,25.91,18.98,4.45,0
Cheltenham Town,46.1,0,0,54.41,,,Cheltenham Town,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.35,1.22,3.42,7.96,12.7,19.85,25.09,24.12,5.18,0.02
Port Vale,44.86,0,0,76.23,,,Port Vale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.36,1.14,2.97,6.59,12.6,27.28,40.33,8.6,0.02
Fleetwood Town,39.37,0,0,98.38,,,Fleetwood Town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.23,1.33,4.18,12.4,79.27,2.53
Carlisle United,31.55,0,0,100,,,Carlisle United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.07,2.49,97.43
