,Team,Points,Position
0,Portsmouth,96,1
0,Portsmouth,94,1
0,Portsmouth,96,1
0,Portsmouth,90,1
0,Portsmouth,98,1
0,Portsmouth,95,1
0,Portsmouth,96,1
0,Portsmouth,97,1
0,Portsmouth,98,1
0,Portsmouth,96,1
0,Portsmouth,98,1
0,Portsmouth,97,1
0,Portsmouth,98,1
0,Portsmouth,96,1
0,Portsmouth,96,1
0,Portsmouth,94,1
1,Portsmouth,93,2
0,Portsmouth,98,1
0,Portsmouth,97,1
0,Portsmouth,94,1
1,Portsmouth,94,2
0,Portsmouth,92,1
0,Portsmouth,98,1
0,Portsmouth,99,1
0,Portsmouth,100,1
0,Portsmouth,95,1
0,Portsmouth,96,1
0,Portsmouth,93,1
0,Portsmouth,98,1
0,Portsmouth,99,1
0,Portsmouth,98,1
0,Portsmouth,96,1
0,Portsmouth,94,1
0,Portsmouth,92,1
2,Portsmouth,90,3
2,Portsmouth,90,3
0,Portsmouth,100,1
0,Portsmouth,97,1
0,Portsmouth,91,1
0,Portsmouth,95,1
0,Portsmouth,94,1
1,Portsmouth,91,2
0,Portsmouth,99,1
0,Portsmouth,96,1
1,Portsmouth,91,2
0,Portsmouth,98,1
0,Portsmouth,96,1
0,Portsmouth,95,1
0,Portsmouth,101,1
0,Portsmouth,99,1
1,Portsmouth,93,2
0,Portsmouth,99,1
0,Portsmouth,98,1
0,Portsmouth,96,1
0,Portsmouth,99,1
1,Portsmouth,93,2
0,Portsmouth,93,1
0,Portsmouth,101,1
0,Portsmouth,96,1
0,Portsmouth,96,1
1,Portsmouth,95,2
0,Portsmouth,96,1
1,Portsmouth,89,2
0,Portsmouth,97,1
0,Portsmouth,97,1
0,Portsmouth,94,1
0,Portsmouth,94,1
0,Portsmouth,95,1
1,Portsmouth,90,2
0,Portsmouth,98,1
0,Portsmouth,94,1
0,Portsmouth,92,1
0,Portsmouth,99,1
1,Portsmouth,92,2
0,Portsmouth,93,1
0,Portsmouth,104,1
1,Portsmouth,94,2
0,Portsmouth,97,1
0,Portsmouth,92,1
0,Portsmouth,95,1
0,Portsmouth,101,1
0,Portsmouth,96,1
0,Portsmouth,97,1
0,Portsmouth,92,1
0,Portsmouth,96,1
0,Portsmouth,97,1
0,Portsmouth,97,1
0,Portsmouth,96,1
0,Portsmouth,98,1
0,Portsmouth,96,1
0,Portsmouth,98,1
1,Portsmouth,93,2
0,Portsmouth,99,1
0,Portsmouth,96,1
0,Portsmouth,93,1
0,Portsmouth,98,1
1,Portsmouth,96,2
1,Portsmouth,96,2
0,Portsmouth,93,1
0,Portsmouth,98,1
1,Portsmouth,91,2
0,Portsmouth,96,1
0,Portsmouth,101,1
0,Portsmouth,99,1
1,Portsmouth,92,2
0,Portsmouth,102,1
1,Portsmouth,93,2
0,Portsmouth,96,1
2,Portsmouth,87,3
0,Portsmouth,97,1
0,Portsmouth,96,1
1,Portsmouth,88,2
0,Portsmouth,97,1
0,Portsmouth,92,1
0,Portsmouth,99,1
0,Portsmouth,95,1
0,Portsmouth,98,1
0,Portsmouth,100,1
0,Portsmouth,99,1
0,Portsmouth,99,1
1,Portsmouth,91,2
0,Portsmouth,93,1
0,Portsmouth,94,1
2,Portsmouth,86,3
0,Portsmouth,95,1
0,Portsmouth,93,1
0,Portsmouth,97,1
2,Portsmouth,89,3
0,Portsmouth,95,1
0,Portsmouth,99,1
0,Portsmouth,97,1
0,Portsmouth,93,1
0,Portsmouth,98,1
0,Portsmouth,94,1
0,Portsmouth,98,1
0,Portsmouth,94,1
0,Portsmouth,98,1
0,Portsmouth,98,1
0,Portsmouth,96,1
0,Portsmouth,94,1
0,Portsmouth,93,1
0,Portsmouth,95,1
1,Portsmouth,93,2
0,Portsmouth,92,1
1,Portsmouth,93,2
2,Portsmouth,89,3
0,Portsmouth,93,1
0,Portsmouth,97,1
0,Portsmouth,95,1
0,Portsmouth,98,1
0,Portsmouth,96,1
0,Portsmouth,92,1
0,Portsmouth,101,1
0,Portsmouth,98,1
0,Portsmouth,95,1
0,Portsmouth,93,1
0,Portsmouth,97,1
0,Portsmouth,99,1
0,Portsmouth,96,1
2,Portsmouth,90,3
0,Portsmouth,96,1
1,Portsmouth,90,2
0,Portsmouth,94,1
0,Portsmouth,96,1
0,Portsmouth,96,1
0,Portsmouth,98,1
0,Portsmouth,97,1
0,Portsmouth,95,1
0,Portsmouth,96,1
0,Portsmouth,96,1
1,Portsmouth,92,2
0,Portsmouth,96,1
0,Portsmouth,101,1
1,Portsmouth,93,2
1,Portsmouth,92,2
0,Portsmouth,91,1
1,Portsmouth,93,2
0,Portsmouth,96,1
0,Portsmouth,95,1
1,Portsmouth,93,2
0,Portsmouth,100,1
0,Portsmouth,96,1
0,Portsmouth,101,1
0,Portsmouth,97,1
0,Portsmouth,90,1
0,Portsmouth,96,1
0,Portsmouth,97,1
0,Portsmouth,96,1
0,Portsmouth,92,1
0,Portsmouth,102,1
0,Portsmouth,92,1
1,Portsmouth,91,2
0,Portsmouth,95,1
0,Portsmouth,104,1
0,Portsmouth,101,1
0,Portsmouth,95,1
0,Portsmouth,94,1
1,Portsmouth,93,2
0,Portsmouth,99,1
0,Portsmouth,97,1
0,Portsmouth,102,1
0,Portsmouth,96,1
0,Portsmouth,91,1
0,Portsmouth,92,1
0,Portsmouth,94,1
2,Portsmouth,89,3
0,Portsmouth,94,1
0,Portsmouth,92,1
0,Portsmouth,98,1
0,Portsmouth,97,1
0,Portsmouth,99,1
1,Portsmouth,89,2
0,Portsmouth,94,1
0,Portsmouth,96,1
1,Portsmouth,95,2
1,Portsmouth,94,2
0,Portsmouth,96,1
1,Portsmouth,96,2
0,Portsmouth,100,1
0,Portsmouth,98,1
1,Portsmouth,90,2
0,Portsmouth,102,1
0,Portsmouth,98,1
0,Portsmouth,96,1
0,Portsmouth,99,1
0,Portsmouth,95,1
0,Portsmouth,102,1
0,Portsmouth,97,1
1,Portsmouth,96,2
2,Portsmouth,90,3
0,Portsmouth,98,1
0,Portsmouth,99,1
1,Portsmouth,95,2
1,Portsmouth,93,2
0,Portsmouth,99,1
0,Portsmouth,100,1
0,Portsmouth,98,1
0,Portsmouth,101,1
0,Portsmouth,99,1
0,Portsmouth,97,1
0,Portsmouth,94,1
1,Portsmouth,92,2
0,Portsmouth,98,1
0,Portsmouth,102,1
0,Portsmouth,95,1
0,Portsmouth,96,1
0,Portsmouth,95,1
0,Portsmouth,95,1
0,Portsmouth,101,1
0,Portsmouth,99,1
1,Portsmouth,92,2
0,Portsmouth,101,1
0,Portsmouth,97,1
0,Portsmouth,93,1
1,Portsmouth,95,2
0,Portsmouth,97,1
2,Portsmouth,90,3
0,Portsmouth,97,1
0,Portsmouth,98,1
1,Portsmouth,90,2
0,Portsmouth,95,1
0,Portsmouth,96,1
1,Portsmouth,93,2
0,Portsmouth,101,1
0,Portsmouth,98,1
0,Portsmouth,99,1
0,Portsmouth,99,1
0,Portsmouth,99,1
0,Portsmouth,102,1
0,Portsmouth,96,1
0,Portsmouth,98,1
0,Portsmouth,99,1
0,Portsmouth,101,1
1,Portsmouth,93,2
0,Portsmouth,96,1
1,Portsmouth,96,2
0,Portsmouth,96,1
0,Portsmouth,98,1
0,Portsmouth,96,1
0,Portsmouth,97,1
1,Portsmouth,91,2
0,Portsmouth,99,1
0,Portsmouth,94,1
0,Portsmouth,99,1
0,Portsmouth,97,1
0,Portsmouth,97,1
0,Portsmouth,99,1
0,Portsmouth,96,1
0,Portsmouth,96,1
0,Portsmouth,95,1
1,Portsmouth,92,2
0,Portsmouth,92,1
0,Portsmouth,98,1
0,Portsmouth,96,1
0,Portsmouth,98,1
0,Portsmouth,96,1
0,Portsmouth,95,1
0,Portsmouth,98,1
0,Portsmouth,95,1
1,Portsmouth,94,2
0,Portsmouth,91,1
0,Portsmouth,94,1
0,Portsmouth,100,1
0,Portsmouth,95,1
0,Portsmouth,101,1
0,Portsmouth,99,1
1,Portsmouth,92,2
0,Portsmouth,93,1
0,Portsmouth,94,1
0,Portsmouth,96,1
0,Portsmouth,99,1
0,Portsmouth,96,1
2,Portsmouth,90,3
1,Portsmouth,95,2
0,Portsmouth,99,1
0,Portsmouth,93,1
0,Portsmouth,98,1
0,Portsmouth,99,1
1,Portsmouth,93,2
0,Portsmouth,95,1
0,Portsmouth,95,1
0,Portsmouth,95,1
0,Portsmouth,98,1
0,Portsmouth,95,1
